iter	TotalF1:average=Macro	MultiClass
405	0.97263184	0.08050278042
406	0.9725956506	0.0804606137
407	0.9725991259	0.08042244644
408	0.972593927	0.08040179106
409	0.9726043248	0.08039717266
410	0.9726363987	0.0803560296
411	0.9726116969	0.08032434797
412	0.9726541686	0.08027788936
413	0.9726598014	0.08026691709
414	0.9727131107	0.08022380205
415	0.9727761678	0.0801918777
416	0.9727882988	0.08014644347
417	0.9728255706	0.08009416546
418	0.9728026116	0.08006174581
419	0.9727882988	0.08001827205
420	0.9728130002	0.07998702728
421	0.9728078012	0.07992982335
422	0.9728738894	0.07987646598
423	0.9728996838	0.07984541269
424	0.9728875526	0.07979502965
425	0.9729018556	0.07975156084
426	0.9729529907	0.07972084785
427	0.9729919944	0.07967841189
428	0.9730132292	0.07963356322
429	0.9729729274	0.07961002788
430	0.9729885284	0.07953708347
431	0.9730539655	0.07945232814
432	0.9730556986	0.07941211794
433	0.9731044509	0.07937642988
434	0.9731399876	0.07933374682
435	0.9731365215	0.07931054563
436	0.9731428048	0.07927007303
437	0.9731870066	0.07923938419
438	0.9732134401	0.07920557427
439	0.9732472431	0.07915345691
440	0.9732364074	0.0791070218
441	0.9732398736	0.07906143854
442	0.9732524423	0.07900474201
443	0.9732559085	0.07896783828
444	0.9732461571	0.07893761777
445	0.9732656677	0.07891861955
446	0.9733029367	0.07888064269
447	0.9733844062	0.0788318155
448	0.9734749858	0.07878707208
449	0.9734606848	0.07874917887
450	0.9735094262	0.07872310053
451	0.973531308	0.07870333791
452	0.9735863517	0.07865530677
453	0.9736236185	0.07861869484
454	0.9735880849	0.07856216594
455	0.9735690212	0.0785373979
456	0.9735397706	0.07849266009
457	0.9735477879	0.07847004653
458	0.9736062882	0.07842907273
459	0.9736504876	0.0783871342
460	0.973697068	0.07835103478
461	0.9737183009	0.07830533067
462	0.9738014986	0.0782720495
463	0.9738422305	0.07824167046
464	0.9738924994	0.07818888611
465	0.973897699	0.07816174076
466	0.9739509965	0.07811281161
467	0.9739986602	0.07805678752
468	0.9739533812	0.07802336684
469	0.9740142591	0.07798817971
470	0.9740125259	0.07796077303
471	0.9740567231	0.07790776821
472	0.9740887875	0.07788120705
473	0.9741221518	0.07784400805
474	0.9740814214	0.07780715041
475	0.9740584563	0.07776900528
476	0.974207511	0.07772352531
477	0.9743015346	0.07765382825
478	0.974290703	0.07762383573
479	0.974290703	0.07758671313
480	0.9742670911	0.07754493017
481	0.9742618914	0.07750262087
482	0.9742865891	0.07747322815
483	0.9743273182	0.07744821018
484	0.9743043538	0.07741500438
485	0.9742917889	0.07738708002
486	0.9742722909	0.07735757355
487	0.9743095535	0.07731247507
488	0.9743130201	0.07728572067
489	0.9743199531	0.07724617241
490	0.9743268861	0.07721920942
491	0.9743212541	0.07719408477
492	0.9743390189	0.07713930116
493	0.9743648025	0.07711779266
494	0.9743561362	0.0770840087
495	0.9743578695	0.07705840748
496	0.9743780147	0.0770003473
497	0.9744037982	0.07697059016
498	0.974527717	0.07694264656
499	0.9745541476	0.07691864382
500	0.9745415833	0.07688397796
501	0.9745667118	0.07684778679
502	0.9745599946	0.07678860557
503	0.9745352973	0.07675838344
504	0.974592056	0.07673117932
505	0.974603542	0.07669214248
506	0.9746000754	0.07665093982
507	0.9745989892	0.07661014204
508	0.9746574806	0.07657842841
509	0.9747320017	0.0765227852
510	0.9747985117	0.07649673916
511	0.9748180083	0.07644893173
512	0.974816275	0.07640457567
513	0.9748019783	0.07635094798
514	0.9747504213	0.07630294243
515	0.9748513715	0.07625882834
516	0.9749133276	0.07621063941
517	0.9749328239	0.07618869983
518	0.9749735498	0.07615159873
519	0.9749752831	0.07612773489
520	0.97499955	0.07609318104
521	0.9749748537	0.07604957725
522	0.975114793	0.07600334594
523	0.9751767471	0.07595728728
524	0.9752369673	0.07591140427
525	0.9751962427	0.07588155727
526	0.9752192051	0.07584586471
527	0.9752209385	0.07582423831
528	0.9752226719	0.07578778237
529	0.9752460624	0.0757354505
530	0.9752759582	0.0756937225
531	0.9752902534	0.07566103622
532	0.9753257771	0.07563120149
533	0.9753396443	0.07559887516
534	0.9753431111	0.07557138431
535	0.9753688939	0.07553835707
536	0.9753569783	0.07549772646
537	0.9754349589	0.07546966798
538	0.9754579207	0.07545472284
539	0.9754837034	0.0754108293
540	0.9754607518	0.07536458971
541	0.9754941141	0.07531468611
542	0.9754975912	0.0752895474
543	0.9755066855	0.07524595961
544	0.975488924	0.07521007522
545	0.9754945515	0.07517170261
546	0.975539402	0.07513795414
547	0.975539402	0.07508244257
548	0.9755812128	0.07504752364
549	0.9756254026	0.07501136757
550	0.9756059079	0.07498112622
551	0.975627136	0.07494237074
552	0.9756591915	0.07490223411
553	0.9756769526	0.07487595513
554	0.9756769526	0.07484856865
555	0.9756804196	0.07481855048
556	0.9756747926	0.07477556555
557	0.9756856199	0.07475391481
558	0.9757635976	0.07470832296
559	0.9758077865	0.07465951982
560	0.9758238137	0.07463313596
